participant_id,arm,converted,city,age
p0098,a,0,上海,25
p0099,a,1,广州,25
p0100,a,0,北京,35
p0101,a,1,上海,35
p0102,a,0,广州,35
p0103,a,1,北京,25
p0104,a,0,上海,25
p0105,a,1,广州,25
p0106,a,0,北京,35
p0107,a,1,上海,35
p0108,a,0,广州,35
p0109,a,1,北京,25
p0110,a,0,上海,25
p0111,a,1,广州,25
p0112,a,0,北京,35
p0113,a,1,上海,35
p0114,a,0,广州,35
p0115,a,1,北京,25
p0116,a,0,上海,25
p0117,a,1,广州,25
p0118,a,0,北京,35
p0119,a,1,上海,35
p0120,a,0,广州,35
p0121,a,1,北京,25
p0122,a,0,上海,25
p0123,a,1,广州,25
p0124,a,0,北京,35
p0125,a,1,上海,35
p0126,a,0,广州,35
p0127,a,1,北京,25
p0128,a,0,上海,25
p0129,a,1,广州,25
p0130,a,0,北京,35
p0131,a,1,上海,35
p0132,a,0,广州,35
p0133,a,1,北京,25
p0134,a,0,上海,25
p0135,a,1,广州,25
p0136,a,0,北京,35
p0137,a,1,上海,35
p0138,a,0,广州,35
p0139,a,1,北京,25
p0140,a,0,上海,25
p0141,a,1,广州,25
p0142,a,0,北京,35
p0143,a,1,上海,35
p0144,a,0,广州,35
p0145,a,1,北京,25
p0146,a,0,上海,25
p0147,a,1,广州,25
p0148,a,0,北京,35
p0149,a,1,上海,35
p0150,a,0,广州,35
p0151,a,1,北京,25
p0152,a,0,上海,25
p0153,a,1,广州,25
p0154,a,0,北京,35
p0155,a,1,上海,35
p0156,a,0,广州,35
p0157,a,1,北京,25
p0158,a,0,上海,25
p0159,a,1,广州,25
p0160,a,0,北京,35
p0161,a,1,上海,35
p0162,a,0,广州,35
p0163,a,1,北京,25
p0164,a,0,上海,25
p0165,a,1,广州,25
p0166,a,0,北京,35
p0167,a,1,上海,35
p0168,a,0,广州,35
p0169,a,1,北京,25
p0170,a,0,上海,25
p0171,a,1,广州,25
p0172,a,0,北京,35
p0173,a,1,上海,35
p0174,a,0,广州,35
p0175,a,1,北京,25
p0176,a,0,上海,25
p0177,a,1,广州,25
p0178,a,0,北京,35
p0179,a,1,上海,35
p0180,a,0,广州,35
p0181,a,1,北京,25
p0182,a,0,上海,25
p0183,a,1,广州,25
p0184,a,0,北京,35
p0185,a,1,上海,35
p0186,a,0,广州,35
p0187,a,1,北京,25
p0188,a,0,上海,25
p0189,a,1,广州,25
p0190,a,0,北京,35
p0191,a,1,上海,35
p0192,a,0,广州,35
p0193,a,1,北京,25
p0194,a,0,上海,25
p0195,a,1,广州,25
p0196,a,0,北京,35
p0197,a,1,上海,35
p0198,a,0,广州,35
p0199,a,1,北京,25
p0200,a,0,上海,25
p0201,a,1,广州,25
p0202,a,0,北京,35
p0203,a,1,上海,35
p0204,a,0,广州,35
p0205,a,1,北京,25
p0206,a,0,上海,25
p0207,a,1,广州,25
p0208,a,0,北京,35
p0209,a,1,上海,35
p0210,a,0,广州,35
p0211,a,1,北京,25
p0212,a,0,上海,25
p0213,a,1,广州,25
p0214,a,0,北京,35
p0215,a,1,上海,35
p0216,a,0,广州,35
p0217,a,1,北京,25
p0218,a,0,上海,25
p0219,a,1,广州,25
p0220,a,0,北京,35
p0221,a,1,上海,35
p0222,a,0,广州,35
p0223,a,1,北京,25
p0224,a,0,上海,25
p0225,a,1,广州,25
p0226,a,0,北京,35
p0227,a,1,上海,35
p0228,a,0,广州,35
p0229,a,1,北京,25
p0230,a,0,上海,25
p0231,a,1,广州,25
p0232,a,0,北京,35
p0233,a,1,上海,35
p0234,a,0,广州,35
p0235,a,1,北京,25
p0236,a,0,上海,25
p0237,a,1,广州,25
p0238,a,0,北京,35
p0239,a,1,上海,35
p0240,a,0,广州,35
p0241,a,1,北京,25
p0242,a,0,上海,25
p0243,a,1,广州,25
p0244,a,0,北京,35
p0245,a,1,上海,35
p0246,a,0,广州,35
p0247,a,1,北京,25
p0248,a,0,上海,25
p0249,a,1,广州,25
p0250,a,0,北京,35
p0251,a,1,上海,35
p0252,a,0,广州,35
p0253,a,1,北京,25
p0254,a,0,上海,25
p0255,a,1,广州,25
p0256,a,0,北京,35
p0257,a,1,上海,35
p0258,a,0,广州,35
p0259,a,1,北京,25
p0260,a,0,上海,25
p0261,a,1,广州,25
p0262,a,0,北京,35
p0263,a,1,上海,35
p0264,a,0,广州,35
p0265,a,1,北京,25
p0266,a,0,上海,25
p0267,a,1,广州,25
p0268,a,0,北京,35
p0269,a,1,上海,35
p0270,a,0,广州,35
p0271,a,1,北京,25
p0272,a,0,上海,25
p0273,a,1,广州,25
p0274,a,0,北京,35
p0275,a,1,上海,35
p0276,a,0,广州,35
p0277,a,1,北京,25
p0278,a,0,上海,25
p0279,a,1,广州,25
p0280,a,0,北京,35
p0281,a,1,上海,35
p0282,a,0,广州,35
p0283,a,1,北京,25
p0284,a,0,上海,25
p0285,a,1,广州,25
p0286,a,0,北京,35
p0287,a,1,上海,35
p0288,a,0,广州,35
p0289,a,1,北京,25
p0290,a,0,上海,25
p0291,a,1,广州,25
p0292,a,0,北京,35
p0293,a,1,上海,35
p0294,a,0,广州,35
p0295,a,1,北京,25
p0296,a,0,上海,25
p0297,a,1,广州,25
p0298,a,0,北京,35
p0299,a,1,上海,35
p0300,a,0,广州,35
p0301,a,1,北京,25
p0302,a,0,上海,25
p0303,a,1,广州,25
p0304,a,0,北京,35
p0305,a,1,上海,35
p0306,a,0,广州,35
p0307,a,1,北京,25
p0308,a,0,上海,25
p0309,a,1,广州,25
p0310,a,0,北京,35
p0311,a,1,上海,35
p0312,a,0,广州,35
p0313,a,1,北京,25
p0314,a,0,上海,25
p0315,a,1,广州,25
p0316,a,0,北京,35
p0317,a,1,上海,35
p0318,a,0,广州,35
p0319,a,1,北京,25
p0320,a,0,上海,25
p0321,a,1,广州,25
p0322,a,0,北京,35
p0323,a,1,上海,35
p0324,a,0,广州,35
p0325,a,1,北京,25
p0326,a,0,上海,25
p0327,a,1,广州,25
p0328,a,0,北京,35
p0329,a,1,上海,35
p0330,a,0,广州,35
p0331,a,1,北京,25
p0332,a,0,上海,25
p0333,a,1,广州,25
p0334,a,0,北京,35
p0335,a,1,上海,35
p0336,a,0,广州,35
p0337,a,1,北京,25
p0338,a,0,上海,25
p0339,a,1,广州,25
p0340,a,0,北京,35
p0341,a,1,上海,35
p0342,a,0,广州,35
p0343,a,1,北京,25
p0344,a,0,上海,25
p0345,a,1,广州,25
p0346,a,0,北京,35
p0347,a,1,上海,35
p0348,a,0,广州,35
p0349,a,1,北京,25
p0350,a,0,上海,25
p0351,a,1,广州,25
p0352,a,0,北京,35
p0353,a,1,上海,35
p0354,a,0,广州,35
p0355,a,1,北京,25
p0356,a,0,上海,25
p0357,a,1,广州,25
p0358,a,0,北京,35
p0359,a,1,上海,35
p0360,a,0,广州,35
p0361,a,1,北京,25
p0362,a,0,上海,25
p0363,a,1,广州,25
p0364,a,0,北京,35
p0365,a,1,上海,35
p0366,a,0,广州,35
p0367,a,1,北京,25
p0368,a,0,上海,25
p0369,a,1,广州,25
p0370,a,0,北京,35
p0371,a,1,上海,35
p0372,a,0,广州,35
p0373,a,1,北京,25
p0374,a,0,上海,25
p0375,a,1,广州,25
p0376,a,0,北京,35
p0377,a,1,上海,35
p0378,a,0,广州,35
p0379,a,1,北京,25
p0380,a,0,上海,25
p0381,a,1,广州,25
p0382,a,0,北京,35
p0383,a,1,上海,35
p0384,a,0,广州,35
p0385,a,1,北京,25
p0386,a,0,上海,25
p0387,a,1,广州,25
p0388,a,0,北京,35
p0389,a,1,上海,35
p0390,a,0,广州,35
p0391,a,1,北京,25
p0392,a,0,上海,25
p0393,a,1,广州,25
p0394,a,0,北京,35
p0395,a,1,上海,35
p0396,a,0,广州,35
p0397,a,1,北京,25
p0398,a,0,上海,25
p0399,a,1,广州,25
p0400,a,0,北京,35
p0401,a,1,上海,35
p0402,a,0,广州,35
p0403,a,1,北京,25
p0404,a,0,上海,25
p0405,a,1,广州,25
p0406,a,0,北京,35
p0407,a,1,上海,35
p0408,a,0,广州,35
p0409,a,1,北京,25
p0410,a,0,上海,25
p0411,a,1,广州,25
p0412,a,0,北京,35
p0413,a,1,上海,35
p0414,a,0,广州,35
p0415,a,1,北京,25
p0416,a,0,上海,25
p0417,a,1,广州,25
p0418,a,0,北京,35
p0419,a,1,上海,35
p0420,a,0,广州,35
p0421,a,1,北京,25
p0422,a,0,上海,25
p0423,a,1,广州,25
p0424,a,0,北京,35
p0425,a,1,上海,35
p0426,a,0,广州,35
p0427,a,1,北京,25
p0428,a,0,上海,25
p0429,a,1,广州,25
p0430,a,0,北京,35
p0431,a,1,上海,35
p0432,a,0,广州,35
p0433,a,1,北京,25
p0434,a,0,上海,25
p0435,a,1,广州,25
p0436,a,0,北京,35
p0437,a,1,上海,35
p0438,a,0,广州,35
p0439,a,1,北京,25
p0440,a,0,上海,25
p0441,a,1,广州,25
p0442,a,0,北京,35
p0443,a,1,上海,35
p0444,a,0,广州,35
p0445,a,1,北京,25
p0446,a,0,上海,25
p0447,a,1,广州,25
p0448,a,0,北京,35
p0449,a,1,上海,35
p0450,a,0,广州,35
p0451,a,1,北京,25
p0452,a,0,上海,25
p0453,a,1,广州,25
p0454,a,0,北京,35
p0455,a,1,上海,35
p0456,a,0,广州,35
p0457,a,1,北京,25
p0458,a,0,上海,25
p0459,a,1,广州,25
p0460,a,0,北京,35
p0461,a,1,上海,35
p0462,a,0,广州,35
p0463,a,1,北京,25
p0464,a,0,上海,25
p0465,a,1,广州,25
p0466,a,0,北京,35
p0467,a,1,上海,35
p0468,a,0,广州,35
p0469,a,1,北京,25
p0470,a,0,上海,25
p0471,a,1,广州,25
p0472,a,0,北京,35
p0473,a,1,上海,35
p0474,a,0,广州,35
p0475,a,1,北京,25
p0476,a,0,上海,25
p0477,a,1,广州,25
p0478,a,0,北京,35
p0479,a,1,上海,35
p0480,a,0,广州,35
p0481,a,1,北京,25
p0482,a,0,上海,25
p0483,a,1,广州,25
p0484,a,0,北京,35
p0485,a,1,上海,35
p0486,a,0,广州,35
p0487,a,1,北京,25
p0488,a,0,上海,25
p0489,a,1,广州,25
p0490,a,0,北京,35
p0491,a,1,上海,35
p0492,a,0,广州,35
p0493,a,1,北京,25
p0494,a,0,上海,25
p0495,a,1,广州,25
p0496,a,0,北京,35
p0497,a,1,上海,35
p0498,a,0,广州,35
p0499,a,1,北京,25
p0500,a,0,上海,25
p0501,a,1,广州,25
p0502,a,0,北京,35
p0503,a,1,上海,35
p0504,a,0,广州,35
p0505,a,1,北京,25
p0506,a,0,上海,25
p0507,a,1,广州,25
p0508,a,0,北京,35
p0509,a,1,上海,35
p0510,a,0,广州,35
p0511,a,1,北京,25
p0512,a,0,上海,25
p0513,a,1,广州,25
p0514,a,0,北京,35
p0515,a,1,上海,35
p0516,a,0,广州,35
p0517,a,1,北京,25
p0518,a,0,上海,25
p0519,a,1,广州,25
p0520,a,0,北京,35
p0521,a,1,上海,35
p0522,a,0,广州,35
p0523,a,1,北京,25
p0524,a,0,上海,25
p0525,a,1,广州,25
p0526,a,0,北京,35
p0527,a,1,上海,35
p0528,a,0,广州,35
p0529,a,1,北京,25
p0530,a,0,上海,25
p0531,a,1,广州,25
p0532,a,0,北京,35
p0533,a,1,上海,35
p0534,a,0,广州,35
p0535,a,1,北京,25
p0536,a,0,上海,25
p0537,a,1,广州,25
p0538,a,0,北京,35
p0539,a,1,上海,35
p0540,a,0,广州,35
p0541,a,1,北京,25
p0542,a,0,上海,25
p0543,a,1,广州,25
p0544,a,0,北京,35
p0545,a,1,上海,35
p0546,a,0,广州,35
p0547,a,1,北京,25
p0548,a,0,上海,25
p0549,a,1,广州,25
p0550,a,0,北京,35
p0551,a,1,上海,35
p0552,a,0,广州,35
p0553,a,1,北京,25
p0554,a,0,上海,25
p0555,a,1,广州,25
p0556,a,0,北京,35
p0557,a,1,上海,35
p0558,a,0,广州,35
p0559,a,1,北京,25
p0560,a,0,上海,25
p0561,a,1,广州,25
p0562,a,0,北京,35
p0563,a,1,上海,35
p0564,a,0,广州,35
p0565,a,1,北京,25
p0566,a,0,上海,25
p0567,a,1,广州,25
p0568,a,0,北京,35
p0569,a,1,上海,35
p0570,a,0,广州,35
p0571,a,1,北京,25
p0572,a,0,上海,25
p0573,a,1,广州,25
p0574,a,0,北京,35
p0575,a,1,上海,35
p0576,a,0,广州,35
p0577,a,1,北京,25
p0578,a,0,上海,25
p0579,a,1,广州,25
p0580,a,0,北京,35
p0581,a,1,上海,35
p0582,a,0,广州,35
p0583,a,1,北京,25
p0584,a,0,上海,25
p0585,a,1,广州,25
p0586,a,0,北京,35
p0587,a,1,上海,35
p0588,a,0,广州,35
p0589,a,1,北京,25
p0590,a,0,上海,25
p0591,a,1,广州,25
p0592,a,0,北京,35
p0593,a,1,上海,35
p0594,a,0,广州,35
p0595,a,1,北京,25
p0596,a,0,上海,25
p0597,a,1,广州,25
p0598,a,0,北京,35
p0599,a,1,上海,35
p0600,a,0,广州,35
p0601,a,1,北京,25
p0602,a,0,上海,25
p0603,a,1,广州,25
p0604,a,0,北京,35
p0605,a,1,上海,35
p0606,a,0,广州,35
p0607,a,1,北京,25
p0608,a,0,上海,25
p0609,a,1,广州,25
p0610,a,0,北京,35
p0611,a,1,上海,35
p0612,a,0,广州,35
p0613,a,1,北京,25
p0614,a,0,上海,25
p0615,a,1,广州,25
p0616,a,0,北京,35
p0617,a,1,上海,35
p0618,a,0,广州,35
p0619,a,1,北京,25
p0620,a,0,上海,25
p0621,a,1,广州,25
p0622,a,0,北京,35
p0623,a,1,上海,35
p0624,a,0,广州,35
p0625,a,1,北京,25
p0626,a,0,上海,25
p0627,a,1,广州,25
p0628,a,0,北京,35
p0629,a,1,上海,35
p0630,a,0,广州,35
p0631,a,1,北京,25
p0632,a,0,上海,25
p0633,a,1,广州,25
p0634,a,0,北京,35
p0635,a,1,上海,35
p0636,a,0,广州,35
p0637,a,1,北京,25
p0638,a,0,上海,25
p0639,a,1,广州,25
p0640,a,0,北京,35
p0641,a,1,上海,35
p0642,a,0,广州,35
p0643,a,1,北京,25
p0644,a,0,上海,25
p0645,a,1,广州,25
p0646,a,0,北京,35
p0647,a,1,上海,35
p0648,a,0,广州,35
p0649,a,1,北京,25
p0650,a,0,上海,25
p0651,b,1,北京,25
p0652,b,0,上海,25
p0653,b,0,广州,25
p0654,b,1,北京,35
p0655,b,0,上海,35
p0656,b,0,广州,35
p0657,b,1,北京,25
p0658,b,0,上海,25
p0659,b,0,广州,25
p0660,b,1,北京,35
p0661,b,0,上海,35
p0662,b,0,广州,35
p0663,b,1,北京,25
p0664,b,0,上海,25
p0665,b,0,广州,25
p0666,b,1,北京,35
p0667,b,0,上海,35
p0668,b,0,广州,35
p0669,b,1,北京,25
p0670,b,0,上海,25
p0671,b,0,广州,25
p0672,b,1,北京,35
p0673,b,0,上海,35
p0674,b,0,广州,35
p0675,b,1,北京,25
p0676,b,0,上海,25
p0677,b,0,广州,25
p0678,b,1,北京,35
p0679,b,0,上海,35
p0680,b,0,广州,35
p0681,b,1,北京,25
p0682,b,0,上海,25
p0683,b,0,广州,25
p0684,b,1,北京,35
p0685,b,0,上海,35
p0686,b,0,广州,35
p0687,b,1,北京,25
p0688,b,0,上海,25
p0689,b,0,广州,25
p0690,b,1,北京,35
p0691,b,0,上海,35
p0692,b,0,广州,35
p0693,b,1,北京,25
p0694,b,0,上海,25
p0695,b,0,广州,25
p0696,b,1,北京,35
p0697,b,0,上海,35
p0698,b,0,广州,35
p0699,b,1,北京,25
p0700,b,0,上海,25
p0701,b,0,广州,25
p0702,b,1,北京,35
p0703,b,0,上海,35
p0704,b,0,广州,35
p0705,b,1,北京,25
p0706,b,0,上海,25
p0707,b,0,广州,25
p0708,b,1,北京,35
p0709,b,0,上海,35
p0710,b,0,广州,35
p0711,b,1,北京,25
p0712,b,0,上海,25
p0713,b,0,广州,25
p0714,b,1,北京,35
p0715,b,0,上海,35
p0716,b,0,广州,35
p0717,b,1,北京,25
p0718,b,0,上海,25
p0719,b,0,广州,25
p0720,b,1,北京,35
p0721,b,0,上海,35
p0722,b,0,广州,35
p0723,b,1,北京,25
p0724,b,0,上海,25
p0725,b,0,广州,25
p0726,b,1,北京,35
p0727,b,0,上海,35
p0728,b,0,广州,35
p0729,b,1,北京,25
p0730,b,0,上海,25
p0731,b,0,广州,25
p0732,b,1,北京,35
p0733,b,0,上海,35
p0734,b,0,广州,35
p0735,b,1,北京,25
p0736,b,0,上海,25
p0737,b,0,广州,25
p0738,b,1,北京,35
p0739,b,0,上海,35
p0740,b,0,广州,35
p0741,b,1,北京,25
p0742,b,0,上海,25
p0743,b,0,广州,25
p0744,b,1,北京,35
p0745,b,0,上海,35
p0746,b,0,广州,35
p0747,b,1,北京,25
p0748,b,0,上海,25
p0749,b,0,广州,25
p0750,b,1,北京,35
p0751,b,0,上海,35
p0752,b,0,广州,35
p0753,b,1,北京,25
p0754,b,0,上海,25
p0755,b,0,广州,25
p0756,b,1,北京,35
p0757,b,0,上海,35
p0758,b,0,广州,35
p0759,b,1,北京,25
p0760,b,0,上海,25
p0761,b,0,广州,25
p0762,b,1,北京,35
p0763,b,0,上海,35
p0764,b,0,广州,35
p0765,b,1,北京,25
p0766,b,0,上海,25
p0767,b,0,广州,25
p0768,b,1,北京,35
p0769,b,0,上海,35
p0770,b,0,广州,35
p0771,b,1,北京,25
p0772,b,0,上海,25
p0773,b,0,广州,25
p0774,b,1,北京,35
p0775,b,0,上海,35
p0776,b,0,广州,35
p0777,b,1,北京,25
p0778,b,0,上海,25
p0779,b,0,广州,25
p0780,b,1,北京,35
p0781,b,0,上海,35
p0782,b,0,广州,35
p0783,b,1,北京,25
p0784,b,0,上海,25
p0785,b,0,广州,25
p0786,b,1,北京,35
p0787,b,0,上海,35
p0788,b,0,广州,35
p0789,b,1,北京,25
p0790,b,0,上海,25
p0791,b,0,广州,25
p0792,b,1,北京,35
p0793,b,0,上海,35
p0794,b,0,广州,35
p0795,b,1,北京,25
p0796,b,0,上海,25
p0797,b,0,广州,25
p0798,b,1,北京,35
p0799,b,0,上海,35
p0800,b,0,广州,35
p0801,b,1,北京,25
p0802,b,0,上海,25
p0803,b,0,广州,25
p0804,b,1,北京,35
p0805,b,0,上海,35
p0806,b,0,广州,35
p0807,b,1,北京,25
p0808,b,0,上海,25
p0809,b,0,广州,25
p0810,b,1,北京,35
p0811,b,0,上海,35
p0812,b,0,广州,35
p0813,b,1,北京,25
p0814,b,0,上海,25
p0815,b,0,广州,25
p0816,b,1,北京,35
p0817,b,0,上海,35
p0818,b,0,广州,35
p0819,b,1,北京,25
p0820,b,0,上海,25
p0821,b,0,广州,25
p0822,b,1,北京,35
p0823,b,0,上海,35
p0824,b,0,广州,35
p0825,b,1,北京,25
p0826,b,0,上海,25
p0827,b,0,广州,25
p0828,b,1,北京,35
p0829,b,0,上海,35
p0830,b,0,广州,35
p0831,b,1,北京,25
p0832,b,0,上海,25
p0833,b,0,广州,25
p0834,b,1,北京,35
p0835,b,0,上海,35
p0836,b,0,广州,35
p0837,b,1,北京,25
p0838,b,0,上海,25
p0839,b,0,广州,25
p0840,b,1,北京,35
p0841,b,0,上海,35
p0842,b,0,广州,35
p0843,b,1,北京,25
p0844,b,0,上海,25
p0845,b,0,广州,25
p0846,b,1,北京,35
p0847,b,0,上海,35
p0848,b,0,广州,35
p0849,b,1,北京,25
p0850,b,0,上海,25
p0851,b,0,广州,25
p0852,b,1,北京,35
p0853,b,0,上海,35
p0854,b,0,广州,35
p0855,b,1,北京,25
p0856,b,0,上海,25
p0857,b,0,广州,25
p0858,b,1,北京,35
p0859,b,0,上海,35
p0860,b,0,广州,35
p0861,b,1,北京,25
p0862,b,0,上海,25
p0863,b,0,广州,25
p0864,b,1,北京,35
p0865,b,0,上海,35
p0866,b,0,广州,35
p0867,b,1,北京,25
p0868,b,0,上海,25
p0869,b,0,广州,25
p0870,b,1,北京,35
p0871,b,0,上海,35
p0872,b,0,广州,35
p0873,b,1,北京,25
p0874,b,0,上海,25
p0875,b,0,广州,25
p0876,b,1,北京,35
p0877,b,0,上海,35
p0878,b,0,广州,35
p0879,b,1,北京,25
p0880,b,0,上海,25
p0881,b,0,广州,25
p0882,b,1,北京,35
p0883,b,0,上海,35
p0884,b,0,广州,35
p0885,b,1,北京,25
p0886,b,0,上海,25
p0887,b,0,广州,25
p0888,b,1,北京,35
p0889,b,0,上海,35
p0890,b,0,广州,35
p0891,b,1,北京,25
p0892,b,0,上海,25
p0893,b,0,广州,25
p0894,b,1,北京,35
p0895,b,0,上海,35
p0896,b,0,广州,35
p0897,b,1,北京,25
p0898,b,0,上海,25
p0899,b,0,广州,25
p0900,b,1,北京,35
p0901,b,0,上海,35
p0902,b,0,广州,35
p0903,b,1,北京,25
p0904,b,0,上海,25
p0905,b,0,广州,25
p0906,b,1,北京,35
p0907,b,0,上海,35
p0908,b,0,广州,35
p0909,b,1,北京,25
p0910,b,0,上海,25
p0911,b,0,广州,25
p0912,b,1,北京,35
p0913,b,0,上海,35
p0914,b,0,广州,35
p0915,b,1,北京,25
p0916,b,0,上海,25
p0917,b,0,广州,25
p0918,b,1,北京,35
p0919,b,0,上海,35
p0920,b,0,广州,35
p0921,b,1,北京,25
p0922,b,0,上海,25
p0923,b,0,广州,25
p0924,b,1,北京,35
p0925,b,0,上海,35
p0926,b,0,广州,35
p0927,b,1,北京,25
p0928,b,0,上海,25
p0929,b,0,广州,25
p0930,b,1,北京,35
p0931,b,0,上海,35
p0932,b,0,广州,35
p0933,b,1,北京,25
p0934,b,0,上海,25
p0935,b,0,广州,25
p0936,b,1,北京,35
p0937,b,0,上海,35
p0938,b,0,广州,35
p0939,b,1,北京,25
p0940,b,0,上海,25
p0941,b,0,广州,25
p0942,b,1,北京,35
p0943,b,0,上海,35
p0944,b,0,广州,35
p0945,b,1,北京,25
p0946,b,0,上海,25
p0947,b,0,广州,25
p0948,b,1,北京,35
p0949,b,0,上海,35
p0950,b,0,广州,35
p0951,b,1,北京,25
p0952,b,0,上海,25
p0953,b,0,广州,25
p0954,b,1,北京,35
p0955,b,0,上海,35
p0956,b,0,广州,35
p0957,b,1,北京,25
p0958,b,0,上海,25
p0959,b,0,广州,25
p0960,b,1,北京,35
p0961,b,0,上海,35
p0962,b,0,广州,35
p0963,b,1,北京,25
p0964,b,0,上海,25
p0965,b,0,广州,25
p0966,b,1,北京,35
p0967,b,0,上海,35
p0968,b,0,广州,35
p0969,b,1,北京,25
p0970,b,0,上海,25
p0971,b,0,广州,25
p0972,b,1,北京,35
p0973,b,0,上海,35
p0974,b,0,广州,35
p0975,b,1,北京,25
p0976,b,0,上海,25
p0977,b,0,广州,25
p0978,b,1,北京,35
p0979,b,0,上海,35
p0980,b,0,广州,35
p0981,b,1,北京,25
p0982,b,0,上海,25
p0983,b,0,广州,25
p0984,b,1,北京,35
p0985,b,0,上海,35
p0986,b,0,广州,35
p0987,b,1,北京,25
p0988,b,0,上海,25
p0989,b,0,广州,25
p0990,b,1,北京,35
p0991,b,0,上海,35
p0992,b,0,广州,35
p0993,b,1,北京,25
p0994,b,0,上海,25
p0995,b,0,广州,25
p0996,b,1,北京,35
p0997,b,0,上海,35
p0998,b,0,广州,35
p0999,b,1,北京,25
p1000,b,0,上海,25
p1001,b,0,广州,25
p1002,b,1,北京,35
p1003,b,0,上海,35
p1004,b,0,广州,35
p1005,b,1,北京,25
p1006,b,0,上海,25
p1007,b,0,广州,25
p1008,b,1,北京,35
p1009,b,0,上海,35
p1010,b,0,广州,35
p1011,b,1,北京,25
p1012,b,0,上海,25
p1013,b,0,广州,25
p1014,b,1,北京,35
p1015,b,0,上海,35
p1016,b,0,广州,35
p1017,b,1,北京,25
p1018,b,0,上海,25
p1019,b,0,广州,25
p1020,b,1,北京,35
p1021,b,0,上海,35
p1022,b,0,广州,35
p1023,b,1,北京,25
p1024,b,0,上海,25
p1025,b,0,广州,25
p1026,b,1,北京,35
p1027,b,0,上海,35
p1028,b,0,广州,35
p1029,b,1,北京,25
p1030,b,0,上海,25
p1031,b,0,广州,25
p1032,b,1,北京,35
p1033,b,0,上海,35
p1034,b,0,广州,35
p1035,b,1,北京,25
p1036,b,0,上海,25
p1037,b,0,广州,25
p1038,b,1,北京,35
p1039,b,0,上海,35
p1040,b,0,广州,35
p1041,b,1,北京,25
p1042,b,0,上海,25
p1043,b,0,广州,25
p1044,b,1,北京,35
p1045,b,0,上海,35
p1046,b,0,广州,35
p1047,b,1,北京,25
p1048,b,0,上海,25
p1049,b,0,广州,25
p1050,b,1,北京,35
p1051,b,0,上海,35
p1052,b,0,广州,35
p1053,b,1,北京,25
p1054,b,0,上海,25
p1055,b,0,广州,25
p1056,b,1,北京,35
p1057,b,0,上海,35
p1058,b,0,广州,35
p1059,b,1,北京,25
p1060,b,0,上海,25
p1061,b,0,广州,25
p1062,b,1,北京,35
p1063,b,0,上海,35
p1064,b,0,广州,35
p1065,b,1,北京,25
p1066,b,0,上海,25
p1067,b,0,广州,25
p1068,b,1,北京,35
p1069,b,0,上海,35
p1070,b,0,广州,35
p1071,b,1,北京,25
p1072,b,0,上海,25
p1073,b,0,广州,25
p1074,b,1,北京,35
